VFSC,PAM
56.56,103.12
57.01,103.52
57.31,103.90
57.49,104.25
57.56,104.57
57.53,104.84
57.42,105.08
57.26,105.27
57.04,105.41
56.80,105.50
56.54,105.54
56.29,105.52
56.18,105.37
56.08,105.17
55.98,104.92
55.89,104.63
55.79,104.32
55.63,103.98
55.36,103.62
55.10,103.26
54.87,102.90
54.68,102.56
54.57,102.25
54.65,101.99
54.88,101.78
55.18,101.62
55.53,101.51
55.93,101.45
56.36,101.48
56.83,101.64
57.29,101.83
57.72,102.06
58.11,102.29
58.44,102.52
58.53,102.65
58.53,102.75
58.48,102.83
58.39,102.90
58.28,102.95
58.20,102.99
58.18,103.03
58.16,103.07
58.13,103.10
58.09,103.14
58.05,103.18
57.99,103.28
57.92,103.39
57.83,103.49
57.73,103.58
57.60,103.65
57.42,103.63
57.17,103.54
56.92,103.42
56.69,103.30
56.49,103.19
56.35,103.11
56.42,103.13
56.52,103.18
56.63,103.25
56.74,103.35
56.83,103.46
56.77,103.61
56.66,103.76
56.51,103.91
56.32,104.04
56.09,104.13
55.78,104.12
55.43,104.04
55.05,103.92
54.67,103.77
54.31,103.59
53.98,103.40
53.75,103.20
53.56,102.99
53.39,102.79
53.23,102.59
53.09,102.41
52.92,102.30
52.74,102.22
52.57,102.15
52.43,102.08
52.30,101.99
52.22,101.87
52.18,101.68
52.17,101.49
52.18,101.28
52.21,101.07
52.24,100.87
52.23,100.72
52.22,100.59
52.24,100.45
52.29,100.31
52.38,100.16
52.60, 99.92
52.94, 99.62
53.29, 99.33
53.64, 99.09
53.96, 98.91
54.17, 98.88
54.16, 99.10
54.11, 99.40
54.05, 99.76
53.99,100.16
54.02,100.58
54.27,100.94
54.56,101.30
54.85,101.65
55.14,101.99
55.39,102.32
55.46,102.61
55.47,102.89
55.43,103.14
55.35,103.38
55.23,103.59
55.06,103.78
54.86,103.95
54.66,104.09
54.47,104.19
54.31,104.26
54.27,104.26
54.36,104.18
54.47,104.07
54.59,103.95
54.71,103.82
54.79,103.71
54.75,103.67
