PAM,VFSC
125.42,59.03
125.49,59.07
125.53,59.09
125.54,59.09
125.52,59.08
125.48,59.05
125.41,59.02
125.32,58.97
125.21,58.92
125.08,58.87
124.94,58.82
124.78,58.76
124.60,58.71
124.42,58.67
124.23,58.64
124.03,58.63
123.84,58.64
123.63,58.69
123.43,58.77
123.25,58.89
123.09,59.03
122.97,59.21
122.93,59.46
122.96,59.77
123.04,60.10
123.14,60.42
123.27,60.74
123.42,61.00
123.59,61.15
123.76,61.27
123.92,61.37
124.05,61.45
124.16,61.54
124.15,61.72
124.10,61.90
124.01,62.08
123.91,62.25
123.80,62.38
123.69,62.44
123.59,62.40
123.50,62.34
123.42,62.26
123.36,62.17
123.31,62.10
123.30,62.09
123.32,62.11
123.35,62.14
123.39,62.19
123.45,62.27
123.52,62.41
123.61,62.58
123.69,62.75
123.78,62.91
123.85,63.05
123.90,63.10
123.93,63.09
123.94,63.04
123.93,62.95
123.91,62.85
123.88,62.72
123.83,62.58
123.76,62.43
123.67,62.27
123.57,62.11
123.45,61.95
123.29,61.80
123.11,61.66
122.91,61.54
122.72,61.43
122.55,61.36
122.40,61.32
122.29,61.33
122.22,61.37
122.18,61.45
122.17,61.57
122.19,61.73
122.28,62.00
122.41,62.31
122.56,62.62
122.72,62.93
122.88,63.22
123.01,63.41
123.11,63.53
123.21,63.61
123.29,63.64
123.36,63.63
123.42,63.57
123.47,63.44
123.50,63.29
123.51,63.11
123.48,62.93
123.43,62.74
123.28,62.62
123.09,62.51
122.88,62.41
122.66,62.31
122.45,62.22
122.27,62.10
122.13,61.94
122.02,61.80
121.93,61.69
121.87,61.61
121.85,61.61
121.91,61.78
122.00,61.98
122.09,62.21
122.18,62.42
122.27,62.62
122.27,62.65
122.25,62.62
122.21,62.56
122.16,62.47
122.10,62.37
122.05,62.26
122.01,62.17
121.97,62.08
121.93,62.01
121.90,61.96
121.88,61.94
121.86,62.02
121.85,62.12
121.86,62.24
121.88,62.36
121.92,62.48
122.05,62.58
122.20,62.66
122.34,62.71
122.45,62.72
122.53,62.67
122.47,62.49
122.32,62.21
122.13,61.89
121.90,61.53
121.64,61.14
121.37,60.76
121.10,60.43
120.84,60.08
120.58,59.72
120.34,59.34
120.11,58.94
119.95,58.40
119.82,57.82
119.72,57.25
119.65,56.74
119.60,56.31
119.60,56.08
119.62,56.08
119.67,56.18
119.74,56.35
119.83,56.57
119.91,56.81
119.95,56.98
120.00,57.17
120.09,57.39
120.22,57.65
120.39,57.94
120.68,58.26
121.03,58.62
121.44,59.05
121.90,59.55
122.41,60.13
123.06,61.02
123.78,62.07
124.48,63.11
125.13,64.04
125.69,64.82
125.96,65.13
126.00,65.04
125.96,64.76
125.87,64.32
125.76,63.75
125.77,63.11
125.83,62.41
125.91,61.70
126.00,61.01
126.12,60.37
126.29,60.02
126.48,59.80
126.67,59.65
126.85,59.54
127.03,59.45
127.16,59.31
127.25,59.07
127.32,58.84
127.35,58.63
127.35,58.43
127.31,58.31
127.22,58.31
127.11,58.32
126.97,58.32
126.81,58.29
126.64,58.16
126.49,57.88
126.31,57.55
126.10,57.15
125.84,56.71
125.53,56.20
125.09,55.53
124.61,54.86
124.10,54.24
123.57,53.70
123.04,53.28
122.55,53.29
122.07,53.50
121.62,53.84
121.21,54.27
120.83,54.77
120.48,55.24
120.18,55.66
119.94,56.11
119.79,56.56
119.74,57.02
119.83,57.49
120.14,57.95
120.55,58.42
121.04,58.89
121.59,59.36
122.17,59.83
122.74,60.30
123.32,60.76
123.91,61.20
124.49,61.61
125.06,61.99
125.63,62.34
126.16,62.64
126.64,62.88
127.07,63.05
127.42,63.13
127.64,63.07
127.78,62.93
127.85,62.71
127.85,62.42
127.77,62.05
127.61,61.57
127.38,61.03
127.11,60.47
126.81,59.89
126.48,59.32
126.13,58.79
125.78,58.32
125.44,57.90
125.12,57.56
124.83,57.31
124.62,57.21
124.52,57.35
124.47,57.57
124.47,57.85
124.51,58.18
124.60,58.51
124.76,58.82
124.94,59.10
125.13,59.34
125.29,59.53
